"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC1000002164.mm.2";5,30183546825025;5,39667142667215;5,08406288315377;5,25970710366235;5,59590131083336;5,4702691981907;4,91757712559005;4,94552190316632;5,01463553242171;5,73982397347236;5,31318405779205
"TC1500001461.mm.2";3,46060628575484;4,80107648109514;3,6303872296744;3,4106562369344;3,64411565893566;4,43332279816749;2,76298534531458;3,66185738978125;3,60660558034823;3,38397603748657;3,27734279839857
"TC1400002497.mm.2";1,75014511154086;2,08524298971118;2,43521187485244;2,20785246255373;2,08524298971118;2,08524298971118;2,81236746724785;1,8940861405029;1,46395536579565;1,88913594697853;2,154695402246
"TC1400002848.mm.2";3,68796251961298;3,46763775250269;3,35655263694918;3,04006839832934;2,6767254114789;3,47305249419717;3,10994733978025;2,994996110524;2,91384257196925;2,55188049678809;3,00481865714241
"TC1600001572.mm.2";2,89840897868979;2,96745680057882;2,25597134933226;3,31208594772088;3,74076701229567;2,54738128304278;2,52696210222811;1,87922330841141;3,6355800864974;2,6026311762831;2,83426936034472
"TC1700000577.mm.2";3,24374987302087;2,91865126961505;3,75905788143348;3,02286928205451;2,86858981283092;3,05238222120334;3,63702010946911;2,52303373001611;2,79539393504287;3,09359127908123;2,86158263058177
"TC1700000578.mm.2";4,87837520476222;4,81452309508006;4,86995463613778;4,75492616271386;4,75285683796587;4,75913496148389;5,02489552882203;4,87045831740192;5,02183363304512;4,72369480561118;4,89961682110017
"TC1700000630.mm.2";2,65975831944691;2,68808409160499;3,10582748554993;3,15112067897888;3,02767005380907;3,03316057860646;3,33791010115625;3,10202721979045;2,51878865412119;2,75245444862155;2,59879035038685
"TC0400004171.mm.2";8,17167635285062;8,99625028106747;8,92019328777599;8,35581439773506;9,14996992042582;9,20239762624369;8,63104304090006;8,78062281639044;8,91973368012326;9,19512903231025;8,59667225584408
"TC0800000219.mm.2";4,2246921168094;4,2246921168094;4,31473490883171;3,89409736031835;4,50664965276297;3,87241705770252;3,96937283233264;4,24198677492796;4,48133758467634;4,26899413537975;4,0362545478545
"TC0X00002931.mm.2";2,3043894677948;2,18606207769568;3,04266573978751;3,20948596870449;2,29848432294479;2,33880217341623;3,3059372200742;2,49479804740288;2,42048678347252;2,69696158906172;2,53951043358761
"TC0500002119.mm.2";3,59280681683783;3,42441934375668;3,43897743455277;3,51531103569392;3,41625273452908;3,78218002571386;4,36584051805013;3,50807632132444;3,51753292074821;3,10340165626633;3,81002036298335
"TC0X00001973.mm.2";2,73763004672952;2,41487712085522;2,34574706956797;2,3113944507577;2,02673062939993;2,25613543692867;2,46216506286192;2,36483846885359;2,54883611543915;2,76323653915312;2,4928717273062
"TC1200000884.mm.2";3,41722432285867;3,32502876133353;3,6391355042715;3,59557845648212;3,38584074361709;3,10335800476468;3,37171531871859;3,13789801563933;3,61119712706101;3,32703203201164;3,28855053695983
"TC0X00001979.mm.2";2,68556281509767;2,27193755071708;2,34120013631456;2,48250730772692;2,5070940109088;2,07512350616047;3,13919635507214;2,45460748415395;2,53691564662694;2,25652558132902;2,51418973619182
"TC1200000885.mm.2";2,1676854299857;2,40196814910828;2,16469025296785;2,68822608641308;2,17682203936996;2,02256036459846;1,84242181163965;1,71995538541253;1,82711089931984;1,88354625009974;2,11515899178511
"TC0300001903.mm.2";4,03068104320506;4,11715060238523;4,61874698510518;3,52779937902926;4,40484672646839;4,1143960355833;3,81421767658135;3,75555258132772;4,18750951761806;4,77721321424056;3,805266186511
"TC0500002122.mm.2";3,47970629670268;3,43063365704157;3,60085899376853;3,45952110255187;4,22535468862223;3,63907202167384;3,38553284774323;3,6778369351573;3,89795022996549;3,95991415014479;3,54734839919682
"TC1200000886.mm.2";4,18238910284023;4,26207922632858;4,01006727782075;4,13564551034563;3,97370389709586;4,01156017973583;3,66712544869879;4,14822900097895;3,96356623649003;4,07957052183826;4,17715335592132
"TC0200002731.mm.2";10,5815561200693;10,559142953388;10,4568700645857;10,1476670235286;10,4683689905882;10,5271583610502;10,0437573886069;10,4570721218733;10,3187450794119;10,6225426696941;10,3180914876667
"TC0X00001980.mm.2";1,69024441200741;1,9362482181316;2,30365227816014;1,88035055202499;1,91733400450918;2,09494840276471;1,94855592748436;1,99115225638184;2,08236355168542;1,08160373802051;2,26881614492154
"TC1200000887.mm.2";1,70241537530097;1,76648671309426;1,89693111693346;2,0914341332389;1,59390183942704;1,69362946550836;1,91393762694288;1,79340103153145;2,28115938367749;1,6106474808014;1,43262970766377
"TC0X00001985.mm.2";3,10094107056264;2,78631425465272;2,7556309249486;2,81535681767384;2,46825499645499;2,41104514776101;3,53722905955;2,74506661617521;2,90730475162279;2,76150354121245;2,90383624404468
"TC0200002741.mm.2";8,44506598758317;8,21796898717773;8,17828984710114;7,96218076685641;8,18712634095186;8,23207750518636;7,53962863603425;8,34471025281196;8,12684077810238;8,25024746353031;8,23037572734387
"TC1500001135.mm.2";2,54035566489806;2,49799438958519;1,79152249536177;1,9081225255429;2,15739061491766;2,2897993480644;2,35379926390571;3,03835010518198;2,16454538929851;2,04392696274954;2,03915754366488
"TC1200002136.mm.2";1,78319829506932;1,74674631767553;1,71422890933748;2,782020569909;2,05402252229097;1,98596789637102;2,18491734947594;1,93304268574628;1,98596789637102;2,00504557270966;2,07255150998644
"TC0X00001163.mm.2";4,69385596652526;4,86408344304242;4,48976020935243;5,60461585772162;4,84684835268439;4,9944310776728;4,56939730262299;4,80599542795775;4,27200827792818;4,60662150786485;4,98321176351662
"TC0X00003128.mm.2";2,52033086954701;1,71684605783059;1,88422445209431;1,33810490785334;2,24780408598919;1,90227709927368;1,47132415366068;1,58403172937485;2,23742289853839;2,26069924949377;2,15418135416842
"TC1400001516.mm.2";1,83127101944328;1,90847250601819;2,0260554679799;1,74884013089839;1,5354942781676;1,57738831811342;1,73956340730016;2,02361251121832;1,96936707326936;2,0669702214677;1,42624098413103
"TC0Y00000485.mm.2";2,08236905232608;1,81440204286847;1,81178745955292;2,02646974821006;1,83295756138375;2,16437547396279;2,13775292519011;2,04958036266529;2,15714328242921;2,10163427226695;1,72714442626457
"TC0100001949.mm.2";3,05772088363841;2,95778410040973;2,97489343377358;3,39464242041889;2,61716143821503;2,96604487524901;3,16619103925643;3,37752442032955;3,0955251253522;3,06194923306667;3,51039317530946
"TC0Y00000076.mm.2";2,15703219334634;1,80216147102527;1,95144290812983;1,84038936636203;1,82159938796984;1,68660053566888;2,02023894528785;1,63754813523167;2,29518826534076;1,69357999918489;2,1164584259407
"TC0400002532.mm.2";6,78281441849959;6,27883566187023;6,74256390744501;6,16722761285197;6,79894874061733;6,75023593871679;6,01580308300663;6,27398281710376;6,51183895048428;6,03363837966019;6,21856376258238
"TC0700002937.mm.2";3,52507256282456;3,58533861772366;3,74820619415142;3,55394765796169;3,99329318571392;3,67329455338452;3,51261861454947;3,47550626313619;3,55394765796169;3,35575965060764;3,43391602322703
"TC0900002805.mm.2";7,05005910471953;7,01638233459689;7,02909374294257;6,82930744878625;6,58484921111127;6,99005574993334;7,10181280610361;6,64852064612602;6,79562529153136;7,6115913662348;6,84409437374389
"TC0Y00000255.mm.2";1,89772109672285;1,82726568771466;2,24445868835342;1,77991641829818;1,95400507895924;1,64843807776763;2,08996639955776;1,4873639713393;1,78913064257596;1,75614210792688;2,04919553824745
